county,states,statefips,pci,household_income,family_income,population,num_of_households
Jackson,Georgia,13,23247,53179,61088,60577,21293
Harrison,Indiana,18,23244,50510,59691,39213,14499
Stafford,Kansas,20,23240,43292,56667,4391,1884
Grant,Arkansas,5,23239,49004,58808,17922,6855
Harrison,Texas,48,23236,45675,55113,66467,23415
Jefferson,Texas,48,23236,42568,53650,252157,92634
Baker,Oregon,41,23234,41500,51199,16055,7120
Kiowa,Kansas,20,23232,44650,57647,2527,1065
Catawba,North Carolina,37,23232,44332,54596,154432,58533
Campbell,Virginia,51,23231,47162,56168,54967,21774
Pawnee,Kansas,20,23230,44078,56750,6971,2545
Marion,West Virginia,54,23229,42152,53822,56666,22593
Valley,Nebraska,31,23227,40445,54364,4256,1893
Sebastian,Arkansas,5,23222,40471,50511,126536,49294
Bonner,Idaho,16,23221,41414,49568,40743,17388
Scotts Bluff,Nebraska,31,23220,43444,53463,36883,14690
Wythe,Virginia,51,23219,41275,49044,29274,11656
Lonoke,Arkansas,5,23218,52582,60786,69266,25052
Macon,North Carolina,37,23213,37892,45633,33859,15340
Nicholas,West Virginia,54,23209,40064,48275,26168,10657
Fulton,Pennsylvania,42,23201,48461,56346,14779,5965
Mason,Illinois,17,23199,42260,56188,14508,6310
Hanson,South Dakota,46,23197,55815,64375,3377,1037
Bond,Illinois,17,23195,48163,61238,17665,6373
Mason,Michigan,26,23183,41136,50719,28648,12470
Cortland,New York,36,23179,47151,60134,49271,18069
Refugio,Texas,48,23174,44548,48963,7327,2818
Miami-Dade,Florida,12,23174,43100,49138,2549075,828031
Callaway,Missouri,29,23171,47964,58357,44276,16548
Garland,Arkansas,5,23170,39162,48388,96547,39881
Pend Oreille,Washington,53,23167,40567,47847,12956,5484
Alamance,North Carolina,37,23166,43043,53945,152472,60139
Toole,Montana,30,23162,46972,53259,5224,1927
Boyd,Nebraska,31,23157,41279,51250,2093,938
Citrus,Florida,12,23148,39100,48013,140214,60319
Mineral,Nevada,32,23146,35017,61226,4700,2147
Taylor,Texas,48,23141,44891,56565,132588,49304
Portsmouth City,Virginia,51,23138,46166,53632,95901,36690
Craighead,Arkansas,5,23138,41393,52466,98398,37834
Jewell,Kansas,20,23134,39884,51957,3061,1454
Stanton,Nebraska,31,23131,51493,60886,6148,2336
Wallowa,Oregon,41,23131,41994,54513,6924,2996
Wood,Texas,48,23129,43649,52446,42089,15800
Williamsburg City,Virginia,51,23127,48616,64329,14579,4391
Oswego,New York,36,23126,48051,59391,121797,45325
Day,South Dakota,46,23126,39761,48450,5669,2511
Pendleton,Kentucky,21,23122,45480,57357,14714,5357
Seneca,New York,36,23115,47618,60974,35359,13429
Weber,Utah,49,23106,54974,62642,233871,79525
Brookings,South Dakota,46,23105,46896,61219,32295,11979
Trego,Kansas,20,23095,45714,56090,2981,1232
Snyder,Pennsylvania,42,23088,46513,53072,39711,14397
Jefferson,New York,36,23078,46484,55325,118073,45011
Washington County,Texas,48,23070,44858,55675,33863,12244
Shelby,Illinois,17,23069,47188,56074,22266,8991
Faulk,South Dakota,46,23069,41453,54219,2370,930
Rice,Kansas,20,23068,45336,57196,10055,3914
Cumberland,North Carolina,37,23067,45231,51944,322033,121226
Hamilton,Texas,48,23067,40655,48894,8410,3029
Fountain,Indiana,18,23063,45884,54191,17108,6925
Wayne,Ohio,39,23061,49135,60737,114750,42487
Tipton,Tennessee,47,23054,52423,59729,61298,21574
Benton,Indiana,18,23049,48711,57079,8823,3444
St. Louis City,Missouri,29,23048,34582,43627,318955,140652
Arkansas County,Arkansas,5,23045,39633,50137,18957,7883
Cleburne,Arkansas,5,23044,40246,49059,25856,10286
Gregory,South Dakota,46,23041,36719,43160,4247,1986
Stephens,Oklahoma,40,23038,43885,57834,44929,17690
Camden,Missouri,29,23038,43458,49942,43822,17647
Taylor,Wisconsin,55,23032,44869,56250,20633,8761
Monroe,Indiana,18,23032,40052,62959,139634,53914
Pitt,North Carolina,37,23029,40718,56512,170485,66026
Calhoun,South Carolina,45,23023,40704,49517,15109,6163
Roscommon,Michigan,26,23023,33334,40691,24281,11617
Musselshell,Montana,30,23022,43409,59112,4729,1966
Schuylkill,Pennsylvania,42,23021,45012,56974,147700,59658
Union,Iowa,19,23007,44838,55380,12547,5339
Iberia,Louisiana,22,22997,44262,51402,73551,26496
Lycoming,Pennsylvania,42,22987,45430,57160,116604,46046
Franklin,Kansas,20,22979,49543,58750,25870,9909
Calhoun,Michigan,26,22978,42110,52857,135534,53428
Langlade,Wisconsin,55,22974,42389,50629,19838,8758
Sumner,Kansas,20,22972,47894,61676,23884,9110
Worth,Missouri,29,22967,39348,49034,2129,940
Stoddard,Missouri,29,22967,37965,49565,29860,12224
Daviess,Kentucky,21,22963,46555,57866,97230,37677
Upton,Texas,48,22953,51750,57391,3323,1218
Cumberland,Illinois,17,22952,43958,54423,11015,4184
Riley,Kansas,20,22948,43962,63634,73243,25895
Lewis,New York,36,22942,46840,55401,27108,10677
Norton,Kansas,20,22942,46029,63182,5640,2248
Indiana County,Pennsylvania,42,22933,43997,56225,88404,34310
Jackson,Oklahoma,40,22925,42824,51599,26280,10455
Sullivan,Pennsylvania,42,22923,40964,50855,6419,2402
Ste. Genevieve,Missouri,29,22921,48433,55208,17996,7235
Bowie,Texas,48,22911,42346,53995,92851,33808
Cooper,Missouri,29,22910,45992,56565,17574,6568
Lawrence,Pennsylvania,42,22906,43546,55348,90374,36823
Wichita,Texas,48,22837,42971,52514,131500,49016
Trinity,California,6,22905,36890,47349,13638,5668
Buena Vista,Iowa,19,22899,46951,58937,20350,7615
Montrose,Colorado,8,22897,45718,55848,41020,16586
Bourbon,Kentucky,21,22893,40933,48310,19999,7865
Mille Lacs,Minnesota,27,22891,47862,57885,25927,10312
Phillips,Montana,30,22890,42632,54746,4205,1800
Monroe,Georgia,13,22888,48630,57440,26613,9550
Waushara,Wisconsin,55,22888,43070,52816,24483,9902
Nash,North Carolina,37,22880,43084,52681,95571,37726
Dolores,Colorado,8,22880,37750,51875,1709,780
Lincoln,Nevada,32,22879,40143,48816,5296,1969
Logan,Ohio,39,22878,47542,53810,45678,18143
Freestone,Texas,48,22876,44502,54284,19657,7251
Vermillion,Indiana,18,22875,42524,50674,16098,6466
Waynesboro City,Virginia,51,22872,44847,57726,21099,8708
Beaverhead,Montana,30,22872,41614,54294,9278,4110
Ravalli,Montana,30,22872,38688,51272,40423,16848
Montgomery,Iowa,19,22868,44281,53586,10625,4553
Scurry,Texas,48,22860,47513,56620,17014,5846
Bell,Texas,48,22857,50060,58115,316144,104049
Muscogee,Georgia,13,22856,41339,50999,194949,72243
Callahan,Texas,48,22855,44902,57957,13535,5201
Waldo,Maine,23,22853,42221,52614,38819,16448
LaPorte,Indiana,18,22852,47538,58674,111310,42690
Collingsworth,Texas,48,22847,41576,48250,3061,1174
Wasco,Oregon,41,22844,43765,53598,25281,9612
Burnett,Wisconsin,55,22843,39564,47404,15449,7354
Mercer,Pennsylvania,42,22831,44301,55943,116059,46187
DeKalb,Indiana,18,22827,47247,56561,42253,16032
Walton,Georgia,13,22824,52369,60249,84397,29520
Harper,Kansas,20,22820,38313,48333,5951,2595
Martin,Indiana,18,22817,44740,55776,10269,4146
Brooke,West Virginia,54,22815,42493,55605,23932,9968
Daggett,Utah,49,22811,46917,67898,830,305
Sandusky,Ohio,39,22799,46140,56634,60619,23906
Logan,Nebraska,31,22799,44417,52813,787,345
Teton,Montana,30,22799,43327,54196,6063,2303
Kittitas,Washington,53,22796,42982,63929,41291,16538
Van Wert,Ohio,39,22790,45355,57364,28685,11442
Ellsworth,Kansas,20,22789,45865,58566,6454,2528
Presque Isle,Michigan,26,22788,39652,46601,13234,6253
Caldwell,Louisiana,22,22782,39385,47327,10083,3935
Clark,Ohio,39,22780,43136,54149,137763,54963
Richland,Wisconsin,55,22778,45271,55208,17911,7343
Maury,Tennessee,47,22766,45336,55558,81821,32144
Grant,New Mexico,35,22755,37899,45616,29471,12216
Crawford,Iowa,19,22748,46548,57067,17205,6300
Cameron,Pennsylvania,42,22747,41410,52800,5000,2144
Henderson,Kentucky,21,22746,41940,54654,46303,18787
Pasquotank,North Carolina,37,22745,46053,55554,40419,14399
Sweet Grass,Montana,30,22743,45938,58462,3640,1304
Cass,Michigan,26,22743,44346,55053,52212,19663
Defiance,Ohio,39,22739,47593,55802,38911,15203
Yadkin,North Carolina,37,22726,40371,50372,38217,14926
Alcona,Michigan,26,22719,37189,45424,10785,4863
Paulding,Ohio,39,22714,44861,58225,19441,7730
Petroleum,Montana,30,22714,41705,56042,538,233
Doniphan,Kansas,20,22713,46512,57530,7905,3161
Shiawassee,Michigan,26,22713,46217,53971,69910,27485
Fisher,Texas,48,22709,42125,55000,3924,1518
Accomack,Virginia,51,22703,39328,48708,33289,14333
Manistee,Michigan,26,22702,41551,49708,24626,10571
Camden,Georgia,13,22701,51990,60101,50799,18386
Wyoming County,New York,36,22700,51100,62490,41923,15624
Wapello,Iowa,19,22699,41425,51694,35469,14534
Norton City,Virginia,51,22699,39416,56290,3998,1706
Henry,Iowa,19,22687,46376,58504,20188,7493
Hancock,Kentucky,21,22686,51189,54461,8608,3361
Dale,Alabama,1,22685,44889,56132,50102,19345
Union,Oregon,41,22684,42542,51973,25741,10235
Vernon,Wisconsin,55,22680,45488,57070,30002,11790
Montgomery,Indiana,18,22679,46797,53218,38215,14590
Harrison,Mississippi,28,22677,43124,51941,190756,72253
Harper,Oklahoma,40,22675,46117,51087,3710,1492
Roberts,South Dakota,46,22670,47191,57684,10210,3646
Cambria,Pennsylvania,42,22659,41730,54630,142448,58208
Gaston,North Carolina,37,22658,42017,51851,207263,79450
Bonneville,Idaho,16,22657,50872,58034,105580,36066
Mills,Texas,48,22651,44213,51540,4891,1817
Lee,Iowa,19,22649,42469,55274,35736,14241
Kershaw,South Carolina,45,22638,43765,52593,61918,24084
Tuscaloosa,Alabama,1,22637,45408,58922,196824,67882
Osage,Missouri,29,22629,51408,61660,13842,5168
Mackinac,Michigan,26,22622,38704,47542,11099,5000
Hancock,Mississippi,28,22621,44522,53192,44597,18145
Tioga,Pennsylvania,42,22621,44187,52998,42267,17058
Washington County,Kansas,20,22621,42515,55034,5763,2487
Jefferson,Illinois,17,22620,42981,55188,38769,15288
Jackson,Michigan,26,22613,46615,57263,160126,60100
Latimer,Oklahoma,40,22603,40970,49894,11034,4160
Huntington,Indiana,18,22601,46148,57067,37044,14138
Surry,Virginia,51,22600,47292,59331,6922,2602
Nobles,Minnesota,27,22598,48208,55102,21490,7964
McPherson,South Dakota,46,22596,37240,44650,2432,1045
San Joaquin,California,6,22589,53380,59900,693177,215563
Vermilion,Louisiana,22,22589,44665,54061,58394,21765
Logan,Colorado,8,22581,40415,50000,22607,8015
Amherst,Virginia,51,22580,44945,56802,32244,12680
Jackson,Indiana,18,22568,46501,56297,42769,16713
Trumbull,Ohio,39,22568,42880,53975,208792,86246
Potter,Pennsylvania,42,22564,41547,50755,17487,7077
Sheridan,Nebraska,31,22551,38548,44859,5390,2380
Davidson,North Carolina,37,22549,43083,54218,162975,64580
Crawford,Wisconsin,55,22549,42235,57472,16578,6772
Morrill,Nebraska,31,22543,43886,50365,4958,2037
Jackson,West Virginia,54,22527,40376,53355,29229,11459
Wayne,Illinois,17,22526,43605,54060,16674,7063
Cumberland,New Jersey,34,22524,50750,60388,157342,50676
Oldham,Texas,48,22519,48929,62500,2064,748
Darke,Ohio,39,22511,43425,53929,52666,20776
Beauregard,Louisiana,22,22509,46385,59364,35891,12948
Mobile,Alabama,1,22501,43028,52234,413188,155178
Dunn,Wisconsin,55,22499,48893,62033,43871,16222
Yuma,Colorado,8,22498,44308,53502,10093,3811
Alfalfa,Oklahoma,40,22488,44811,57604,5674,2031
Lea,New Mexico,35,22484,50694,60006,65681,21126
Upshur,Texas,48,22483,46600,58447,39640,14286
Kiowa,Colorado,8,22482,40813,55938,1423,559
La Salle,Louisiana,22,22481,42528,55587,14843,5619
Northumberland,Pennsylvania,42,22478,41208,52280,94444,39348
Delta,Michigan,26,22471,42676,53489,36967,15885
Douglas,Washington,53,22467,51908,55665,38807,13976
Saint Thomas,U.S. Virgin Islands,#N/A,22458,38232,47122,51634,21555
Tillamook,Oregon,41,22452,43676,51235,25300,10236
Nuckolls,Nebraska,31,22448,37594,52127,4462,2119
Teton,Idaho,16,22436,53931,62389,10141,3583
Florence,Wisconsin,55,22434,47960,52846,4477,1767
Southampton,Virginia,51,22433,46150,58038,18444,6708
Florence,South Carolina,45,22432,41910,51660,137393,51332
McKean,Pennsylvania,42,22426,41834,51472,43294,17450
Medina,Texas,48,22413,55326,61952,46512,15284
Waller,Texas,48,22412,50097,59684,43836,13601
Johnston,North Carolina,37,22410,49711,58463,172321,60759
Franklin,Tennessee,47,22398,42904,48711,40985,16067
Lenawee,Michigan,26,22395,47766,59156,99505,37754
Labette,Kansas,20,22394,40916,49907,21369,8703
Henry,Missouri,29,22394,39839,50344,22183,9551
Todd,Minnesota,27,22383,45000,53847,24697,9904
Wyandot,Ohio,39,22382,44448,57009,22582,9284
Marshall,Kentucky,21,22381,43907,54460,31296,11963
Pontotoc,Oklahoma,40,22381,41881,52738,37700,14793
Montgomery,Tennessee,47,22380,49617,57117,177640,64026
Genesee,Michigan,26,22380,42089,53072,421575,165669
Belmont,Ohio,39,22380,41534,52232,69990,28329
Morton,Kansas,20,22378,46607,51250,3182,1186
Hardin,Illinois,17,22366,37071,46932,4273,1800
Comanche,Oklahoma,40,22363,46036,54389,124591,44251
Warren,Mississippi,28,22362,41025,54240,48389,18404
Page,Virginia,51,22355,42906,49682,23975,9623
Osage,Oklahoma,40,22353,44195,55339,47800,18512
Saginaw,Michigan,26,22349,42331,54004,198841,77412
Hunt,Texas,48,22341,44858,55101,86455,30756
Newton,Missouri,29,22341,42268,50565,58552,22045
Wahkiakum,Washington,53,22334,41815,48156,4006,1715
Menominee,Michigan,26,22331,41739,49566,23917,10787
Creek,Oklahoma,40,22327,43026,52398,70246,26296
Jefferson,Ohio,39,22324,40577,51183,68928,28326
Latah,Idaho,16,22322,41735,60899,37636,14941
Bedford City,Virginia,51,22322,35593,44058,6052,2800
Fulton,Illinois,17,22318,45130,56215,36829,14610
Baca,Colorado,8,22318,38829,48080,3761,1651
Morgan,West Virginia,54,22312,36046,51724,17502,7343
Wayne,Michigan,26,22308,41184,52423,1804507,670987
Greene,Illinois,17,22307,43502,53680,13778,5790
Orleans,Vermont,50,22303,41953,52235,27184,11043
Granville,North Carolina,37,22295,49852,54842,58188,19953
Allen,Ohio,39,22295,42823,54846,105895,40552
Siskiyou,California,6,22293,37709,47183,44503,19417
Kearny,Kansas,20,22292,52264,60735,3956,1301
Crane,Texas,48,22291,50417,60625,4484,1571
Kanabec,Minnesota,27,22291,47068,54060,16151,6277
Greenwood,Kansas,20,22280,38346,53288,6582,2855
Clay,Illinois,17,22279,40640,52000,13744,5486
Philadelphia,Pennsylvania,42,22279,37192,46375,1536704,580017
Ward,Texas,48,22278,42568,52953,10836,3938
Marion,Kansas,20,22269,45830,57375,12491,4861
Rabun,Georgia,13,22260,35423,50864,16271,6997
Union,Pennsylvania,42,22259,48528,55763,44932,15062
Bedford,Pennsylvania,42,22259,43290,53401,49490,20198
Huron,Ohio,39,22257,49404,56337,59390,22361
Cass,Illinois,17,22257,45734,53871,13530,5134
Pondera,Montana,30,22256,41277,52698,6166,2302
Orleans,New York,36,22255,48502,58031,42663,15725
Tooele,Utah,49,22252,61412,66201,59120,18281
Boyle,Kentucky,21,22249,41473,49654,28701,11100
Harding,South Dakota,46,22247,44353,56354,1330,527
Pike,Indiana,18,22245,40680,50069,12780,5149
Keokuk,Iowa,19,22243,42167,54323,10428,4354
Sevier,Tennessee,47,22242,43649,50704,91295,36815
Coos,Oregon,41,22239,37940,47830,62753,26072
Henry,Tennessee,47,22239,36950,48836,32293,13473
Greene,Indiana,18,22235,43980,54728,33001,12894
Rosebud,Montana,30,22229,48789,60188,9310,3268
Klickitat,Washington,53,22229,41694,48375,20537,8019
Sabine,Louisiana,22,22229,35159,46816,24286,9175
Morrow,Ohio,39,22228,51484,58660,34932,12940
Haskell,Texas,48,22223,36857,48886,5885,2425
Lewis,Washington,53,22212,42860,53627,75419,29527
Davis,Iowa,19,22210,45040,51772,8755,3115
Kay,Oklahoma,40,22207,41012,50266,46122,18357
La Paz,Arizona,4,22200,35776,42729,20408,10221
St. Lawrence,New York,36,22198,43647,53346,112097,41839
Adams,Wisconsin,55,22196,44897,51949,20741,8278
Somerset,Pennsylvania,42,22192,43597,54418,77341,29791
Pike,Georgia,13,22191,53865,61309,17807,6140
Humphreys,Tennessee,47,22183,42846,54492,18392,7396
Las Animas,Colorado,8,22180,42261,53089,15136,5992
Lawrence,Indiana,18,22169,42627,52567,46053,18592
Chautauqua,New York,36,22168,42429,52854,134156,54863
St. Martin,Louisiana,22,22164,42186,54589,52559,18756
Boone,Arkansas,5,22160,38506,47585,37099,15086
Clearwater,Minnesota,27,22157,43269,52661,8725,3586
Union,Georgia,13,22156,40009,47736,21399,9141
McCormick,South Carolina,45,22150,40028,48283,10091,4069
Glenn,California,6,22148,43023,51705,28054,9628
Anderson,Kansas,20,22139,41713,54962,8021,3308
Hopkins,Kentucky,21,22132,40891,51596,46810,18495
Wayne,Iowa,19,22127,40024,52447,6382,2589
Rapides,Louisiana,22,22126,40930,51092,132034,47606
Lyon,Kentucky,21,22123,40112,55125,8394,3294
Huron,Michigan,26,22120,40204,50996,32751,13907
East Feliciana,Louisiana,22,22099,47225,54664,20111,6991
Chenango,New York,36,22097,43941,54395,50121,19829
Knox,Illinois,17,22093,40667,52496,52545,21481
Garfield,Nebraska,31,22092,41892,49904,1947,864
Franklin,Maine,23,22083,41626,50251,30660,12098
Anderson,South Carolina,45,22081,41579,53856,188480,73296
Clay,North Carolina,37,22081,38828,46528,10599,4431
Seneca,Ohio,39,22075,43764,54219,56376,21651
Marengo,Alabama,1,22072,35079,48116,20669,8464
Trimble,Kentucky,21,22070,49718,57174,8818,3512
Furnas,Nebraska,31,22068,39603,51458,4920,2215
Texas County,Oklahoma,40,22064,49901,57713,21157,7180
Lincoln,Missouri,29,22063,52835,59074,53051,18714
Venango,Pennsylvania,42,22060,41977,51925,54590,22547
Ripley,Indiana,18,22059,47537,59022,28636,10761
White,Georgia,13,22059,40670,51282,27400,11788
Lake,Oregon,41,22056,33611,47537,7862,3566
Deer Lodge,Montana,30,22052,38958,49714,9285,3855
Cattaraugus,New York,36,22049,42603,52637,79735,32246
Massac,Illinois,17,22047,43615,55256,15282,6053
Perry,Arkansas,5,22047,42455,50840,10381,3903
Iosco,Michigan,26,22047,36236,45265,25662,11172
Decatur,Indiana,18,22046,48047,54432,25939,9792
Greenup,Kentucky,21,22035,44060,53746,36822,14465
Cherokee,Alabama,1,22030,34907,45998,26034,11656
Clinton,Ohio,39,22026,46048,54413,42013,15969
Maries,Missouri,29,22026,42566,55331,9102,3749
Edwards,Texas,48,22015,43839,54440,2070,838
Marion,Oregon,41,22001,46885,54920,318441,113285
Henderson,Texas,48,21995,40900,48789,78636,29732
Marion,Florida,12,21992,39453,46538,333503,134002
Meade,Kansas,20,21990,51000,54093,4486,1714
Garfield,Utah,49,21989,45357,50429,5123,1890
Stevens,Washington,53,21986,41742,52410,43513,17684
Hockley,Texas,48,21984,50565,61002,23115,7973
Randolph,Illinois,17,21976,47427,60224,33218,11889
Coles,Illinois,17,21970,37040,53465,53732,21046
Tuscarawas,Ohio,39,21966,43739,52496,92528,36149
Pittsburg,Oklahoma,40,21966,41252,50907,45417,18456
Buchanan,Missouri,29,21961,44363,57326,89419,33331
Hamilton,Illinois,17,21960,38417,56202,8413,3512
Alpena,Michigan,26,21948,38016,48308,29399,12899
Noble,Oklahoma,40,21947,44842,55018,11529,4565
Rains,Texas,48,21946,44478,55233,10989,4232
Pickett,Tennessee,47,21942,35184,42159,5095,2388
Ashland,Ohio,39,21940,46548,55342,53234,20207
Pueblo,Colorado,8,21940,41777,52705,160048,62439
Sherman,Texas,48,21936,48185,58977,3048,949
Marshall,Indiana,18,21933,45709,57613,47057,17581
Richland,Ohio,39,21932,41835,53602,123387,48458
Brule,South Dakota,46,21928,45284,57078,5286,2094
Henry,Alabama,1,21924,41650,54725,17308,7001
Henry,Kentucky,21,21923,46016,53557,15425,6008
Van Zandt,Texas,48,21920,43439,51707,52515,19064
Ouachita,Louisiana,22,21917,38955,50992,154641,57551
Atchison,Kansas,20,21909,45212,56271,16839,6216
Marion,Missouri,29,21909,42046,52844,28804,11203
Donley,Texas,48,21904,42411,57961,3620,1280
Lake of the Woods,Minnesota,27,21903,44069,49816,3998,1665
Clarion,Pennsylvania,42,21902,42389,54945,39720,15776
Noble,Indiana,18,21889,47117,57363,47509,17722
Spartanburg,South Carolina,45,21889,42919,52662,286789,107350
Lincoln,Oklahoma,40,21888,42668,53457,34238,13256
Marion,Illinois,17,21887,41010,52408,39070,15893
Clinton,Pennsylvania,42,21875,42184,55818,39501,15067
Murray,Oklahoma,40,21870,44151,53246,13571,5121
Douglas,Oregon,41,21870,40524,48420,107286,43846
Watauga,North Carolina,37,21854,34293,60066,51557,20909
Bear Lake,Idaho,16,21853,44964,49145,5957,2442
Wirt,West Virginia,54,21852,34702,43795,5796,2427
Kit Carson,Colorado,8,21850,44157,57538,8189,3046
Jackson,Wisconsin,55,21849,44149,51692,20506,8112
Brown,Nebraska,31,21843,33647,44605,3167,1544
Nye,Nevada,32,21838,39876,45798,43368,18046
Raleigh,West Virginia,54,21837,40758,49936,78993,31364
Warren,Illinois,17,21832,43536,53887,17762,6972
Gasconade,Missouri,29,21830,41392,52579,15083,6168
Camas,Idaho,16,21830,41154,46587,1267,464
Grays Harbor,Washington,53,21828,42405,52948,72092,27396
Greene,Pennsylvania,42,21819,44388,55745,38362,14417
Piscataquis,Maine,23,21818,36646,45917,17343,7769
Floyd,Virginia,51,21816,44618,50969,15371,6086
Lincoln,Tennessee,47,21811,41571,51120,33411,13438
Madison,Kentucky,21,21800,42312,54652,83976,31484
Lee,Mississippi,28,21799,42074,54292,83964,31898
Wakulla,Florida,12,21797,52691,59910,30824,10455
White,Arkansas,5,21793,42487,51449,77767,29632
Josephine,Oregon,41,21791,37733,46913,82783,34390
Carroll,Ohio,39,21783,43779,52336,28689,11107
Chase,Kansas,20,21775,36815,56346,2763,1149
Woodson,Kansas,20,21774,33839,47159,3278,1517
Galax City,Virginia,51,21769,30325,47297,6977,3018
Lyon,Nevada,32,21757,46137,52918,51648,19278
Butte,South Dakota,46,21744,41332,58006,10197,4015
Assumption,Louisiana,22,21743,46116,55603,23268,8571
Crawford,Pennsylvania,42,21741,42504,53099,88173,34831
Gray,Texas,48,21738,43504,54327,22777,8388
Chouteau,Montana,30,21737,40070,50111,5827,2228
Stone,Missouri,29,21733,40850,49527,31817,13320
Van Buren,Michigan,26,21732,45129,54472,75897,28374
West Feliciana,Louisiana,22,21720,61616,75613,15522,4007
Box Elder,Utah,49,21720,57292,62898,50160,16207
Brazos,Texas,48,21720,38310,58863,197642,70239
Greenbrier,West Virginia,54,21720,37895,48487,35588,15409
Union,Illinois,17,21719,41848,48879,17722,6852
Lincoln,Montana,30,21719,33333,44111,19581,8872
Stanton,Kansas,20,21712,46382,50948,2210,775
Robertson,Texas,48,21709,40601,48008,16574,5851
Grant,Wisconsin,55,21705,46963,58869,51080,19420
Stewart,Tennessee,47,21701,39781,51250,13313,5292
Cass,Indiana,18,21700,41940,50753,38802,14827
Catoosa,Georgia,13,21690,47087,55768,64606,23941
Dade,Georgia,13,21690,43205,50830,16580,6325
Erath,Texas,48,21670,39586,52201,38744,14383
Stanislaus,California,6,21663,49297,55432,518321,166883
McLennan,Texas,48,21660,41922,53085,237316,84862
Floyd,Texas,48,21655,42279,54696,6371,2457
Wetzel,West Virginia,54,21653,37969,49622,16435,6903
Bradley,Tennessee,47,21649,41083,50351,100070,37603
Pulaski,Indiana,18,21641,44764,53822,13253,5058
Rusk,Texas,48,21640,45752,55414,53508,17772
Lynn,Texas,48,21639,44375,49308,5841,2179
Beaufort,North Carolina,37,21636,40429,49574,47575,19266
Finney,Kansas,20,21629,47945,56111,36920,12515
Juniata,Pennsylvania,42,21628,46163,54701,24737,9248
Boone,West Virginia,54,21627,42156,54315,24517,9559
Beltrami,Minnesota,27,21622,43231,53549,45021,16781
Lake and Peninsula,Alaska,2,21616,51786,53828,1454,508
Hopkins,Texas,48,21606,43657,52124,35295,13303
DeKalb,Tennessee,47,21606,37482,44208,18875,7037
Appanoose,Iowa,19,21599,39208,51142,12808,5534
Howard,Missouri,29,21598,42747,54167,10184,3825
Avery,North Carolina,37,21598,36969,46847,17756,7122
Saline,Illinois,17,21596,37800,47023,24950,10174
Jefferson,Oregon,41,21593,43373,46040,21461,7882
Randolph,Indiana,18,21592,40904,47682,25975,10429
Newberry,South Carolina,45,21591,41718,53963,37514,14254
Ontonagon,Michigan,26,21585,34620,44986,6584,3269
Pittsylvania,Virginia,51,21583,42143,52071,63077,26092
Colusa,California,6,21579,52158,56830,21366,6853
Franklin,New York,36,21575,45667,54399,51676,19238
Columbiana,Ohio,39,21575,42300,53267,107078,42095
Gaines,Texas,48,21572,52910,56868,18019,5437
Colbert,Alabama,1,21572,39077,50924,54456,22260
Aroostook,Maine,23,21566,37855,50779,71230,30597
Wayne,North Carolina,37,21557,41731,51391,123382,47330
Adams,Idaho,16,21555,35434,42978,3937,1707
Clinton,Indiana,18,21554,48953,57960,33086,11745
Johnson,Missouri,29,21547,47223,58641,53517,20092
Dickson,Tennessee,47,21547,44318,51398,49926,18647
DeSoto,Louisiana,22,21547,39162,51734,26813,10270
Cumberland,Virginia,51,21540,40557,49351,9943,4049
Lake,California,6,21537,36548,48323,64260,26505
Sedgwick,Colorado,8,21536,40221,53500,2376,943
Essex,Virginia,51,21532,44885,53946,11180,4286
Burleson,Texas,48,21529,45651,56139,17201,6258
Madison,Indiana,18,21527,43120,54074,131027,50637
Jefferson,Indiana,18,21524,43795,52922,32449,12668
Fayette,Illinois,17,21523,44722,52735,22088,8124
Lake,Montana,30,21521,38019,50222,28905,11829
Putnam,Indiana,18,21520,50821,59037,37799,12414
Cowley,Kansas,20,21519,41878,53091,36232,13867
Somerset,Maine,23,21513,38642,50051,51942,21692
Linn,Oregon,41,21500,46939,55169,117648,44722
Carlisle,Kentucky,21,21500,39049,47667,5064,2034
Loup,Nebraska,31,21499,38125,42917,581,240
Iron,Michigan,26,21499,34685,46502,11723,5289
Dillingham Census Area,Alaska,2,21498,54150,56089,4923,1339
Craig,Virginia,51,21498,47806,58750,5199,2122
Crawford,Michigan,26,21492,40295,50114,14017,5781
Calloway,Kentucky,21,21490,39677,56752,37383,14937
Klamath,Oregon,41,21489,39627,48896,66211,27378
Monroe,Ohio,39,21487,40573,46632,14646,6111
Scott,Virginia,51,21485,38355,47067,22940,9692
Newton,Georgia,13,21484,50580,56113,100808,33840
McIntosh,Georgia,13,21484,39068,54036,14142,4993
Caldwell,Missouri,29,21482,41169,53186,9249,3743
Crawford,Ohio,39,21478,40783,49718,43348,17655
Carter,Oklahoma,40,21476,41401,52415,47904,17411
Sherman,Kansas,20,21476,38634,46154,6063,2727
Clay,Indiana,18,21474,46430,57826,26865,10230
Washington County,Utah,49,21472,49279,55881,141902,46826
Lamar,Texas,48,21468,40104,50524,49751,19416
Northwest Arctic,Alaska,2,21461,61607,57866,7624,1828
Preston,West Virginia,54,21457,45413,52128,33666,12697
Cotton,Oklahoma,40,21452,46317,56721,6166,2345
Lee,North Carolina,37,21449,44819,55582,58735,21204
Logan,Illinois,17,21445,47133,62765,30177,10963
Troup,Georgia,13,21443,41161,50076,67776,24441
Red River,Louisiana,22,21443,39346,46024,9028,3320
