county,states,statefips,pci,household_income,family_income,population,num_of_households
Franklin,Missouri,29,24742,48857,60741,101569,39263
Orange,Texas,48,24736,49507,59926,82372,31162
San Jacinto,Texas,48,24733,46107,53569,26669,9425
Cascade,Montana,30,24727,44963,58565,81621,33430
Churchill,Nevada,32,24716,49830,60951,24572,9253
Edwards,Kansas,20,24714,46551,55114,2998,1269
San Juan,Colorado,8,24711,39583,53194,659,321
Cayuga,New York,36,24702,51581,63082,79767,31311
Victoria,Texas,48,24700,50364,56062,88068,32072
Montague,Texas,48,24699,44231,55267,19668,8038
Warren,Missouri,29,24692,50830,64196,32667,12572
Kootenai,Idaho,16,24685,49002,56911,140785,55679
Russell,Kansas,20,24683,37111,48132,6945,3317
Morris,Kansas,20,24680,47445,57161,5869,2503
Clinton,New York,36,24676,50282,63665,81865,31901
Lincoln,Wisconsin,55,24669,49021,61366,28650,12513
Norfolk City,Virginia,51,24659,44747,51986,244090,85557
Asotin,Washington,53,24659,43175,55321,21802,9058
Macoupin,Illinois,17,24658,49590,60309,47462,19254
Osceola,Iowa,19,24653,48659,63939,6335,2676
Dickey,North Dakota,38,24644,47359,62298,5264,2178
Merrick,Nebraska,31,24639,50859,56185,7802,3316
Hawaii County,Hawaii,15,24635,51250,59862,187044,64909
Chippewa,Wisconsin,55,24628,50551,61420,62676,24456
Custer,Nebraska,31,24615,44873,56136,10872,4738
Whitley,Indiana,18,24613,51914,61149,33274,13094
Polk,North Carolina,37,24611,44745,53909,20381,8788
Dickinson,Michigan,26,24611,44136,53342,26201,11432
Park,Montana,30,24611,42426,56960,15621,6445
Davison,South Dakota,46,24597,48341,62438,19622,8471
Madison,Nebraska,31,24593,46566,58592,34995,13867
Floyd,Iowa,19,24590,43826,56004,16177,7007
Dodge,Nebraska,31,24588,48626,57827,36675,15221
Prince of Wales-Hyder Census Area,Alaska,2,24581,46071,53333,5672,2240
Moffat,Colorado,8,24577,53231,68822,13447,5062
Wheeler,Oregon,41,24575,37974,46875,1292,625
Dodge,Wisconsin,55,24573,53075,64923,88598,33173
Autauga,Alabama,1,24571,53682,66349,54907,20071
Hartley,Texas,48,24566,65750,75527,6076,1748
Kimball,Nebraska,31,24565,42180,52276,3779,1641
Anderson,Tennessee,47,24561,43620,55940,75263,30548
Franklin County,Virginia,51,24557,45624,55970,56195,23358
Monona,Iowa,19,24557,42025,57292,9208,3981
Gage,Nebraska,31,24555,47654,61483,22055,9133
Grant,South Dakota,46,24554,48896,57699,7307,3159
Pennington,Minnesota,27,24554,45633,61448,14008,5806
Clay,Minnesota,27,24550,52410,68533,59638,22463
Nemaha,Kansas,20,24550,47122,61696,10149,4117
Ray,Missouri,29,24549,52698,63014,23290,8735
Winnebago,Iowa,19,24547,45603,61599,10732,4591
Haywood,North Carolina,37,24536,41557,52014,58951,26608
Carroll,Indiana,18,24531,50542,60427,20109,7995
Boyd,Kentucky,21,24530,40379,53328,49314,19530
Whiteside,Illinois,17,24525,47667,58305,58150,23370
Clark,Kentucky,21,24524,45853,57583,35608,14498
Mitchell,Iowa,19,24518,51078,66895,10739,4389
Hamilton,Iowa,19,24510,43589,58135,15486,6395
Hamilton,Kansas,20,24510,43357,51953,2645,1076
Monroe,Iowa,19,24508,45997,56887,8010,3361
Clay,Kansas,20,24503,45233,57236,8500,3407
Rock,Nebraska,31,24501,43500,55625,1436,666
Buffalo,Wisconsin,55,24500,47384,58708,13466,5777
Bay,Florida,12,24498,47461,57295,170704,67561
Flagler,Florida,12,24497,47233,53823,97301,35647
Cuming,Nebraska,31,24496,47500,58654,9095,3822
Dorchester,South Carolina,45,24495,53857,62753,139802,50321
Winnebago,Illinois,17,24495,47072,58536,293384,113449
Jackson,Iowa,19,24493,46467,56474,19737,8479
Jones,Georgia,13,24485,51497,60290,28650,10384
Susquehanna,Pennsylvania,42,24477,48231,57595,42948,17163
Scott,Illinois,17,24471,49669,61563,5288,2113
Shelby,Indiana,18,24459,51440,60234,44511,17171
Yates,New York,36,24457,49335,60271,25293,9602
Benton,Minnesota,27,24453,52200,64694,38756,15359
Stark,Ohio,39,24453,45641,57381,375348,150003
Wayne,Nebraska,31,24448,52147,69696,9499,3401
Androscoggin,Maine,23,24442,44921,57444,107634,44006
Georgetown,South Carolina,45,24437,40131,51852,60280,23115
White Pine,Nevada,32,24435,48586,63982,10023,3357
Prince George,Virginia,51,24434,63074,70566,36462,10848
