year,mind16,total_emp,union_emp,real_med_wage,union_density
2000,Construction,7384252.699,367678.3806,22.20729683,0.201618801
2000,Professional services,21006367.92,170503.4367,23.91620773,0.03241633
2000,Retail trade,14028866.06,239008.4744,14.94535776,0.067770409
2000,Educational,11051617.09,1082192.622,24.23449274,0.39423111
2000,"Manufacturing, durable goods",11901097.62,479391.288,23.66513011,0.161211844
2000,"Personal services, including private household",2196086.967,12374.19876,12.7826535,0.022736539
2000,"Manufacturing, nondurable goods",7641572.47,281917.2215,20.66073293,0.147620284
2000,Entertainment and recreation,10409407.61,132310.8029,11.94528715,0.050995772
2000,Hospital,5078283.155,201369.159,24.81253212,0.159021884
2000,Wholesale trade,4895219.97,68810.69988,22.11544281,0.056922045
2000,Transportation,5796382.238,513499.8054,23.06267227,0.352465655
2000,Communications and utilities,3430952.527,223043.43,29.40181175,0.26057135
2000,"Medical, except hospital",6020707.584,124387.3297,19.21670277,0.082498959
2000,"Agriculture, mining, forestry and fisheries",2527066.262,30909.48176,14.82429057,0.049282537
2000,Social Services,2989036.679,65072.15042,16.59914662,0.087370417
2000,Public administration,6075660.766,537841.9775,27.11208439,0.356553471
2001,Retail trade,14264211.84,228680.0265,14.94548499,0.064099002
2001,"Manufacturing, durable goods",11361341.91,454124.0286,23.74804724,0.160259086
2001,Construction,7610690.749,374764.2032,23.24982485,0.198991695
2001,"Manufacturing, nondurable goods",7258100.862,268461.9574,21.58393001,0.147512903
2001,Educational,11304388.81,1109900.461,24.75995021,0.391056871
2001,"Medical, except hospital",6211098.391,118804.319,19.67429406,0.076657979
2001,Hospital,5254727.11,201589.9149,24.91468021,0.154757201
2001,Professional services,21160675.56,192459.8594,24.22354149,0.036045266
2001,Wholesale trade,4595664.126,68166.02509,22.83459938,0.058768665
2001,Transportation,5737893.736,501362.113,23.63076834,0.35116856
2001,Communications and utilities,3474628.448,223174.1095,29.65004858,0.259298119
2001,Entertainment and recreation,10587480.51,131865.9101,12.44487872,0.050093358
2001,"Agriculture, mining, forestry and fisheries",2380568.158,31785.1926,15.45699947,0.053958318
2001,"Personal services, including private household",2175045.314,14761.03606,13.25449823,0.027129304
2001,Public administration,6162318.169,557322.0822,27.46443361,0.362686105
2001,Social Services,3011123.319,57667.99223,16.59870967,0.075912093
2002,"Personal services, including private household",2215951.383,9732.920611,13.86263252,0.017567126
2002,"Manufacturing, durable goods",10489429.63,425791.624,24.52745432,0.163742876
2002,Public administration,6184181.056,559964.4413,27.79887206,0.360448235
2002,Hospital,5329739.769,216226.6779,26.16316319,0.160587025
2002,Professional services,21211963.26,177234.9861,24.52098762,0.033473437
2002,Transportation,5656140.873,494926.9359,23.58937503,0.346962276
2002,Educational,11542640.47,1123692.38,24.52745432,0.390423261
2002,Construction,7524358.687,357052.8352,22.88847427,0.19349651
2002,Entertainment and recreation,10804445.41,122192.2975,12.67440696,0.045235957
2002,Retail trade,14204722.43,229683.5524,15.71098373,0.064815169
2002,Communications and utilities,3358119.906,216735.6329,29.41004474,0.257309656
2002,"Manufacturing, nondurable goods",6946487.908,234796.8665,22.01901334,0.134155327
2002,Social Services,3064372.483,61824.38663,17.14222899,0.081446299
2002,"Medical, except hospital",6625649.882,120554.583,19.62032771,0.073197004
2002,"Agriculture, mining, forestry and fisheries",2442948.839,27455.92523,15.81563967,0.046003681
2002,Wholesale trade,4533572.594,60716.42243,22.88505412,0.053591775
2003,Professional services,22629138.25,204065.3498,23.98199574,0.036066458
2003,Hospital,5633674.802,227705.0003,26.89678021,0.160947384
2003,"Manufacturing, durable goods",10085463.75,378966.6201,23.97399889,0.150114446
2003,Entertainment and recreation,10594842.33,101174.4009,12.78666587,0.038270978
2003,Retail trade,14577247.57,251541.3528,15.9773347,0.069325341
2003,"Medical, except hospital",7193845.528,126022.5122,19.44522172,0.070054174
2003,Educational,11807810.45,1119329.224,24.6757066,0.379573901
2003,Wholesale trade,3963435.408,53417.88382,23.58496135,0.055105289
2003,Public administration,6242509.321,561491.5711,27.33890687,0.359119441
2003,"Manufacturing, nondurable goods",6907231.678,220229.6495,21.73493353,0.128345385
2003,Communications and utilities,3645924.093,201470.2949,30.35533655,0.217755533
2003,Construction,7690161.607,351561.0858,23.12130207,0.184470908
2003,Social Services,2277998.682,50494.22903,15.96933861,0.088366911
2003,"Agriculture, mining, forestry and fisheries",1867180.032,22760.71341,16.37631758,0.049056247
2003,"Personal services, including private household",2143914.968,16989.29497,13.9861655,0.031563737
2003,Transportation,5223873.768,477373.8282,23.95800596,0.363578598
2004,Social Services,2293462.271,49047.40689,16.03715716,0.086349498
2004,Hospital,5677843.386,224670.7784,27.11284254,0.160367817
2004,Professional services,22924944.4,199451.2924,23.35863701,0.034588991
2004,"Medical, except hospital",7364078.45,133560.3559,19.85386772,0.072599726
2004,Entertainment and recreation,10820572.75,107047.8522,12.45430488,0.0398851
2004,"Manufacturing, durable goods",9895511.852,355548.2781,24.21540626,0.143197324
2004,Retail trade,14644117.82,226188.0885,15.57372284,0.061503007
2004,"Manufacturing, nondurable goods",6675453.488,211561.9835,21.80217369,0.127275014
2004,Wholesale trade,4118319.684,54003.80307,23.33302085,0.052714934
2004,Public administration,6365448.774,565608.1219,28.02686077,0.355838683
2004,Communications and utilities,3444418.241,192608.6611,29.95690726,0.223542922
2004,Educational,12019334.33,1117204.974,25.08444208,0.373053253
2004,Transportation,5262682.079,460938.696,23.35084802,0.352744733
2004,Construction,8099050.868,337644.2876,22.57780926,0.167552889
2004,"Personal services, including private household",2205335.379,13956.92948,13.9809114,0.025459904
2004,"Agriculture, mining, forestry and fisheries",1859546.704,25536.46184,16.34826724,0.056932833
