age_group,2007–2011,2019–2020
16–24 years old,-0.07673087603988749,-0.05322734717667582
25–54 years old,-0.04797843976118954,-0.043412010298099046
55–64 years old,-0.018190211870523276,-0.03310267392033395
65+ years old,0.012400696126549982,-0.01574881183239052
